,tweets
264,"['hawkatte', 'in', datetime.datetime(2019, 11, 8, 11, 53, 34), 3932, 'RT @anindyakana: Buat warga Jabodetabek yg suka janjian di mal naik mobil/taksi, yuk kurangi emisi karbon (+budget parkir) dgn naik transpo…', '']"
265,"['teukuirfiandi1', 'in', datetime.datetime(2019, 11, 8, 11, 36, 6), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri saya juga sering nolong ibu"" bawa barang naik/turun tangga. \ntapi gak saya expose. \nTakutnya gak ikhlas ☺', 'dki jakarta']"
266,"['NyimasNenden', 'in', datetime.datetime(2019, 11, 8, 10, 46, 1), 0, '@zayichi @mrtjakarta Wkwkwk yuu ke jakarta 😂 btw ak mau pulkam esok !', 'Paris Van Java']"
267,"['NyimasNenden', 'in', datetime.datetime(2019, 11, 8, 10, 29, 49), 0, '@mrtjakarta Mrt beroprasi mulai jam berapa sampai jam berapa ya min?', 'Paris Van Java']"
268,"['teh_e5', 'in', datetime.datetime(2019, 11, 8, 10, 29, 28), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Ini salah 1 pembangunan MRT yg kurang nyaman,  tangga sejauh itu seharusnya suda di ganti oleh escalator. Semoga ada wanaca ke arah situ.', 'ÜT: -1.275028,116.836228']"
269,"['priyatna_binS', 'in', datetime.datetime(2019, 11, 8, 9, 29, 42), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Jakarta Pusat ']"
270,"['Zie83132906', 'in', datetime.datetime(2019, 11, 8, 9, 26, 34), 0, '@cantonaisme @ridwanhr @mrtjakarta @TMCPoldaMetro @DivHumas_Polri mrk suami istri oey', 'DKI Jakarta, Indonesia']"
271,"['DahlianaMaya', 'in', datetime.datetime(2019, 11, 8, 9, 25, 52), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
272,"['LeeKumKee88', 'in', datetime.datetime(2019, 11, 8, 8, 54, 34), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Bandung, West Java, Indonesia']"
273,"['stel_maris', 'in', datetime.datetime(2019, 11, 8, 8, 53, 31), 0, 'dasar warga +62, udah salah, ditegor malah lbh galak.\nmalah ngatain dan ngajak ribut, satpamnya @mrtjakarta diem aja lagi.\nkanan jalan terus, diem ya di kiri, jangan diem nelp asik di tengah.\nudh dbilang permisi berulang kali malah belagak budek... kalo ga buru2 sih ribut deh tuh', '']"
274,"['YoyokSubandriy3', 'in', datetime.datetime(2019, 11, 8, 8, 51, 15), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Sidoarjo, Jawa timur']"
275,"['stel_maris', 'in', datetime.datetime(2019, 11, 8, 8, 47, 12), 0, '@SarasWibawanti @mrtjakarta SETUJU BANGET!\n@mrtjakarta please banget makin digencarin soal di tangga/eskalator kalo mau diem tuh di kiri; bukan ditengah atau kanan.\nbanyak banget yg belagak budeg pas ditegor, dibilang permisi juga ga minggir, udh salah ditegor malah lebih galak dan ngatain 😩🤬', '']"
276,"['DUYEHbinMICHAEL', 'in', datetime.datetime(2019, 11, 8, 8, 46, 12), 0, '@kemenhub151 @mrtjakarta Tolong di cek ini....lg VIRAL...\n@kemenhub151 @hubdat151 @KAI121 @perkeretaapian \nMacam mana pula smua ini bisa terjadi...hadeuhhhhh..... https://t.co/jFTPQuZOjP', 'sarang tawon']"
277,"['anggarayudha_p', 'in', datetime.datetime(2019, 11, 8, 8, 45, 50), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
278,"['stel_maris', 'in', datetime.datetime(2019, 11, 8, 8, 44, 53), 1, 'RT @SarasWibawanti: @mrtjakarta Tolong lebih di sosialisasikan oleh petugas di lapangan kembali perihal eskalator bagian kanan dan kiri min…', '']"
279,"['d_harissandi', 'in', datetime.datetime(2019, 11, 8, 8, 22, 57), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'ÜT: -6.293,106.963585']"
280,"['Tiaranty', 'in', datetime.datetime(2019, 11, 8, 8, 11, 29), 0, '@PT_TransJakarta @mrtjakarta Halo @PT_TransJakarta untuk rute 6R ini kok tidak muncul di app Trafi ya untuk real time departure-nya?', '']"
281,"['dollyprasetia', 'in', datetime.datetime(2019, 11, 8, 7, 47, 11), 0, '@cantonaisme @ridwanhr @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Saya yakin banyak polisi yg baik, namun oknum yg nakal jg banyak dan seakan2 kebal hukum kalau melakukan pelanggaran,', '']"
282,"['riberu_ade2', 'in', datetime.datetime(2019, 11, 8, 7, 25, 21), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
283,"['TANDUKRANTING', 'in', datetime.datetime(2019, 11, 8, 7, 15, 34), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Ada yang sepemikiran dengan saya....?', 'DI YOGYAKARTA']"
284,"['erteabc', 'in', datetime.datetime(2019, 11, 8, 7, 14, 52), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Indonesia']"
285,"['LennonNMe', 'in', datetime.datetime(2019, 11, 8, 7, 12, 19), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Jakarta']"
286,"['johan3507', 'in', datetime.datetime(2019, 11, 8, 7, 4, 54), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
287,"['BigBigbos12', 'in', datetime.datetime(2019, 11, 8, 7, 1, 10), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
288,"['budmul', 'in', datetime.datetime(2019, 11, 8, 6, 57, 54), 0, '@cantonaisme @TMCPoldaMetro @mrtjakarta @DivHumas_Polri Kalau saya menyoroti banyak fasilitas umum masih belum menyediakan fasilitas khusus untuk orang yang sudah tua atau yang berkebutuhan khusus', 'ÜT: -6.231963,106.793039']"
289,"['Negeri_Sendiri', 'in', datetime.datetime(2019, 11, 8, 6, 56, 15), 0, '@Diozaurus @HurufZett @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Waaah ya kalau ini mah langganan. 😘', 'Jakarta, Indonesia']"
290,"['Negeri_Sendiri', 'in', datetime.datetime(2019, 11, 8, 6, 55, 50), 0, '@HurufZett @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Dengan senang hati.', 'Jakarta, Indonesia']"
291,"['Diozaurus', 'in', datetime.datetime(2019, 11, 8, 6, 47, 38), 0, '@HurufZett @Negeri_Sendiri @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Ikut juga.\n😁🤭', 'BDO 🇮🇩 ']"
292,"['Sentoel', 'in', datetime.datetime(2019, 11, 8, 6, 47, 32), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Bekasi Barat']"
293,"['HurufZett', 'in', datetime.datetime(2019, 11, 8, 6, 45, 22), 0, '@Negeri_Sendiri @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Mbak Terr, next aku yah temenin... Hehe', 'Banyuwangi-Surabaya']"
294,"['Pelangisenja26', 'in', datetime.datetime(2019, 11, 8, 6, 45, 20), 0, '@AsadSyarif3 @kemenhub151 @mrtjakarta Ohh jadi beda ya, wkw kirain sama.. soalnya blm pernah nyoba MRT.\nMakasih yaa 😁', 'Indonesia']"
295,"['hadhmeant', 'in', datetime.datetime(2019, 11, 8, 6, 40, 32), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Nusantara-Milanello']"
296,"['Rachaeltan12', 'in', datetime.datetime(2019, 11, 8, 6, 29, 9), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
297,"['miaemooond', 'in', datetime.datetime(2019, 11, 8, 6, 28, 11), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Indonesia']"
298,"['rrzqllh', 'in', datetime.datetime(2019, 11, 8, 6, 27, 31), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Indonesia']"
299,"['AnnisaCass', 'in', datetime.datetime(2019, 11, 8, 6, 26, 23), 0, 'Lucu! Uang siapa memang?? 🤣😅 GILA HORMAT!! @dprddkijakarta @mrtjakarta @makLambeTurah Itukan memang kewajiban DPRD yang memfasilitasi!! Investors Jepang ada namanya gak??!! #moreegothanbrains', 'Jakarta, Indonesia']"
300,"['nando_wusthon', 'in', datetime.datetime(2019, 11, 8, 6, 6, 57), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Singapore']"
301,"['widaeruri', 'in', datetime.datetime(2019, 11, 8, 5, 55, 14), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Jakarta Capital Region']"
302,"['TMCPoldaMetro', 'in', datetime.datetime(2019, 11, 8, 5, 50, 8), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'DKI Jakarta, Indonesia']"
303,"['AsadSyarif3', 'in', datetime.datetime(2019, 11, 8, 5, 2, 54), 0, '@Pelangisenja26 @kemenhub151 @mrtjakarta Bedanya MRT sama KRL sdh jelas terlihat dari spesifikasinya..\nMRT= dia kereta bawah tanah \nKRL= kereta Darat /diatas permukaan tanah\nAda lagi LRT = Kereta layang \n\nSemoga membantu..salam..', '']"
304,"['BNI', 'in', datetime.datetime(2019, 11, 8, 5, 2, 4), 0, '@rizkaac @mrtjakarta @mrtjakarta Selamat siang Bapak/Ibu, untuk cek transaksi BNI TapCash Go hanya dapat melalui aplikasi BNI TapCash Go di HP yang ada fitur NFC ya Pak/Bu. Terima kasih. -Widia-', 'Jakarta, Indonesia']"
305,"['NariswariEU', 'in', datetime.datetime(2019, 11, 8, 4, 35, 44), 0, 'Seneng banget akhirnya bisa juga naik @mrtjakarta !! Bangga sih jadi warga jakarta bisa punya yg senyaman ini ..', 'Indonesia']"
306,"['thecocopost', 'in', datetime.datetime(2019, 11, 8, 4, 27, 52), 12, 'RT @mrtjakarta: Sekarang udah gampang ngelewatin macetnya jalanan kota buat ke @urbansneakersociety dengan Official Transportation Solution…', 'Kota Malang']"
307,"['rizkaac', 'in', datetime.datetime(2019, 11, 8, 3, 40, 48), 0, '@mrtjakarta halo, Min. gimana caranya print mutasi tapcash BNI? @BNI @BNICustomerCare', 'Jakarta, Indonesia']"
308,"['Lanzlanzzz1', 'in', datetime.datetime(2019, 11, 8, 3, 32, 20), 0, '@mrtjakarta @mierafebrina Kirain wijaya kang sayur 😜', '']"
309,"['ajenghendarmin', 'in', datetime.datetime(2019, 11, 8, 3, 6, 34), 0, '@mrtjakarta sebenernya escalator di atrbpn itu untuk naik apa turun sih? Sebenernya kalo pagi lebih perlu buat naik lo, tapi selalu turun, jadi gak jelas', 'Jakarta, Indonesia']"
310,"['Pelangisenja26', 'in', datetime.datetime(2019, 11, 8, 3, 1, 7), 0, '@kemenhub151 @mrtjakarta MRT sama KRL beda apa sama ya? Wkw\nSerius nanya', 'Indonesia']"
311,"['KoperTraveler', 'in', datetime.datetime(2019, 11, 8, 2, 59, 17), 0, '@Negeri_Sendiri @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Aduhhh bukan hehe ... masih menjejakkan kaki di bumi kak hehe', 'Jakarta']"
312,"['Negeri_Sendiri', 'in', datetime.datetime(2019, 11, 8, 2, 51, 26), 0, '@primahapsari83 @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Hayuk! Hayuk!', 'Jakarta, Indonesia']"
313,"['Negeri_Sendiri', 'in', datetime.datetime(2019, 11, 8, 2, 51, 8), 0, '@KoperTraveler @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Tapi kamu bukan Jaelangkung kan ya Ko? 😅😅😅', 'Jakarta, Indonesia']"
314,"['Hola_ihi', 'in', datetime.datetime(2019, 11, 8, 2, 47, 1), 0, '@aniesbaswedan @mrtjakarta Ngasih ucApan,seakan akan hasil karyanya. Ikut mikir aja nggak', '']"
315,"['Zya59012339', 'in', datetime.datetime(2019, 11, 8, 2, 39, 20), 0, '@mrtjakarta @MrTJKT Stasiun MRT Fatmawati, untuk pejalan kaki menyebrang ke arah Banjarsari mohon dibuatkan penyebrangan Sebracross minimum.  Sulit akses.', '']"
316,"['gueamu', 'in', datetime.datetime(2019, 11, 8, 2, 29, 33), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
317,"['rizkaac', 'in', datetime.datetime(2019, 11, 8, 2, 8, 37), 0, 'dukuh atas—fatmawati, pas tap out mesinnya error (as always), tap pertama gagal, tap kedua berhasil, dan saldo tapcash kepotong 24k. bagus banget sistemnya👏👏 @mrtjakarta', 'Jakarta, Indonesia']"
318,"['SarasWibawanti', 'in', datetime.datetime(2019, 11, 8, 2, 1, 21), 1, '@mrtjakarta Tolong lebih di sosialisasikan oleh petugas di lapangan kembali perihal eskalator bagian kanan dan kiri min.. Jangan diem klo di kanan', 'Bandung,Jawa barat,Indonesia']"
319,"['primahapsari83', 'in', datetime.datetime(2019, 11, 8, 1, 55, 11), 0, '@Negeri_Sendiri @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Aq pengen naik MRT bareng mbak Ter jugaa', 'Jogja']"
320,"['mierafebrina', 'in', datetime.datetime(2019, 11, 8, 1, 47, 29), 0, '@mrtjakarta Thx ya kak🙏', 'dimanajaboleh']"
321,"['anindyavivi', 'in', datetime.datetime(2019, 11, 8, 1, 41, 14), 0, 'Pelatihan gw fokusnya kasih informasi ttg apa aja kekerasan seksual itu, dan apa yg bisa surrounding environment lakukan jika mereka witnessing pelecehan. \n\nSampai skg cm ada 1 institusi aja yg ngajak kita pelatihan SEBELUM ada kejadian yaitu @mrtjakarta , bahkan sblm beroperasi.', 'Indonesia']"
322,"['khoirinaannisa', 'in', datetime.datetime(2019, 11, 8, 1, 40, 4), 0, '@mrtjakarta Waaah, tengkyu infonya min 🙏🏼', 'Indonesia']"
323,"['BintangSleman', 'in', datetime.datetime(2019, 11, 8, 1, 15, 39), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
324,"['KoperTraveler', 'in', datetime.datetime(2019, 11, 8, 1, 2, 30), 0, '@Negeri_Sendiri @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Wah nggak lah kak teri, aku selalu siap kalau diajak ketemuan, tapi jarang dipanggil hehe #curhat', 'Jakarta']"
325,"['mierafebrina', 'in', datetime.datetime(2019, 11, 8, 1, 1, 16), 0, '@mrtjakarta Polsek wijaya kebayorab baru kak, mohon info kalo naik MRT turun dimana, thx kak 🙏', 'dimanajaboleh']"
326,"['Negeri_Sendiri', 'in', datetime.datetime(2019, 11, 8, 0, 47, 6), 0, '@KoperTraveler @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Kalau dayang gundul ini sih selalu ada, walaupun di list terbawah. Urutan 407 biasanya baru terpanggil 😂😂😂', 'Jakarta, Indonesia']"
327,"['ismuziezna', 'in', datetime.datetime(2019, 11, 7, 23, 51, 17), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
328,"['KoperTraveler', 'in', datetime.datetime(2019, 11, 7, 23, 50, 43), 0, '@Negeri_Sendiri @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Aduh hehe ... dayang dayang githu ya kak ...', 'Jakarta']"
329,"['Negeri_Sendiri', 'in', datetime.datetime(2019, 11, 7, 23, 47, 29), 0, '@KoperTraveler @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Lah ya Koko Sinyo kalau di Jakarta sudah banyak banget dayang-dayangnya.', 'Jakarta, Indonesia']"
330,"['sangbima', 'in', datetime.datetime(2019, 11, 7, 23, 35, 19), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Jakarta']"
331,"['KoperTraveler', 'in', datetime.datetime(2019, 11, 7, 23, 10, 35), 0, '@Negeri_Sendiri @Diozaurus @mrtjakarta @aansmile27 @AdipatiJulian22 @GiokTjen Jadi kapan nemenin akunya hehe', 'Jakarta']"
332,"['b4yu_nguwot', 'in', datetime.datetime(2019, 11, 7, 21, 24, 16), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Mertuanya kaliii..', 'Depok']"
333,"['sepatukiri_', 'in', datetime.datetime(2019, 11, 7, 21, 7, 16), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
334,"['SuzannaHutabar1', 'in', datetime.datetime(2019, 11, 7, 20, 23, 58), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'London']"
335,"['fajaranugerah', 'in', datetime.datetime(2019, 11, 7, 19, 53, 58), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'ÜT: -6.246017,106.832449']"
336,"['xd_handaya', 'in', datetime.datetime(2019, 11, 7, 19, 53, 23), 0, '@cantonaisme @ulinyusron @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Foto ini tangga naik apa turun?', 'Kota Semarang, Jawa Tengah']"
337,"['ulinyusron', 'in', datetime.datetime(2019, 11, 7, 19, 50, 51), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Enam indera']"
338,"['mierafebrina', 'in', datetime.datetime(2019, 11, 7, 19, 3, 31), 0, 'Min kalo mau ke Wijaya turunnya di halte @mrtjakarta mana ya,thx', 'dimanajaboleh']"
339,"['Tarek_AR27', 'in', datetime.datetime(2019, 11, 7, 17, 15, 43), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Bikin kalkulator biar turun nya gk pegel 😂😂😂😂', '']"
340,"['randhilicious', 'in', datetime.datetime(2019, 11, 7, 17, 4, 32), 0, '@mrtjakarta ""Jika terdapat hal yang mengganggu kenyamanan"". Kadang di peron maupun di dalam Kereta ketemu pnp bpergian bareng sama tman, krabat, anggota klrg, suka brsuara keras &amp; gaduh, yg model2 bgitu Petugas Keamanan langsung tegur aja, kan ada Panduan Etika dilarang brsuara keras 🙂', 'Jakarta-Surabaya Argo Anggrek']"
341,"['trasiudangabc', 'in', datetime.datetime(2019, 11, 7, 16, 41, 5), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'location unknown']"
342,"['FirdhaChotimah', 'in', datetime.datetime(2019, 11, 7, 16, 36, 49), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Jakarta  Timur']"
343,"['FirdhaChotimah', 'in', datetime.datetime(2019, 11, 7, 16, 36, 12), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta  Timur']"
344,"['Negeri_Sendiri', 'in', datetime.datetime(2019, 11, 7, 16, 22, 37), 0, 'Dulu nemenin @Diozaurus (Bandung) nyoba naik @mrtjakarta kali pertama, terus nemenin @aansmile27 (Yogyakarta), @AdipatiJulian22 (Bandung), @GiokTjen  (Sydney). \n\nBarusan 4 kawan seniman dari Tulungagung tahu-tahu ngikut mau nyobain MRT kata mereka. https://t.co/Ua7PHa0rz2', 'Jakarta, Indonesia']"
345,"['markzakharias', 'in', datetime.datetime(2019, 11, 7, 16, 2, 36), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Tuh polisi harusnya jalan di kiri, belakang ibu”nya. Yg kanan kan buat yg naik.', 'ÜT: -6.2791325,106.7510461']"
346,"['dyonraditya', 'in', datetime.datetime(2019, 11, 7, 15, 54, 57), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'ÜT: -6.2080378,106.8596344']"
347,"['rikopurbowo1', 'in', datetime.datetime(2019, 11, 7, 15, 48, 26), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Garut, Indonesia']"
348,"['idhar_hanifudin', 'in', datetime.datetime(2019, 11, 7, 15, 4, 42), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Cimahi - Sleman']"
349,"['Subqie', 'in', datetime.datetime(2019, 11, 7, 14, 47, 17), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'Tangerang']"
350,"['k_intankusumah', 'in', datetime.datetime(2019, 11, 7, 14, 43, 59), 0, 'Min @mrtjakarta klo pke flazz naik mrt pertama kali,flazz nya mesti di tap utk aktivasi ga?klo krl kan mesti aktivasi tuh', '']"
351,"['jtmkcjjmt', 'in', datetime.datetime(2019, 11, 7, 14, 25, 8), 0, '@mrtjakarta KCI seharusnya mencontoh ini dlm memberlakukan KKW https://t.co/OQ45BKIS8T', 'Cipondoh, Indonesia']"
352,"['ImmanuelLTobi10', 'in', datetime.datetime(2019, 11, 7, 14, 19, 45), 12, 'RT @mrtjakarta: Sekarang udah gampang ngelewatin macetnya jalanan kota buat ke @urbansneakersociety dengan Official Transportation Solution…', 'Tangerang, Banten']"
353,"['sautism01', 'in', datetime.datetime(2019, 11, 7, 14, 12, 55), 0, '@PT_TransJakarta @lrtjkt @mrtjakarta Dibandingkan dgn jumlah penduduk di Jkt pada siang hari, angka 1 juta masih sedikit. Mohon integrasi transportasi di Jkt semakin dimaksimalkan, agar pengguna kendaraan bermotor lebih memilih transportasi umum dan massal utk mengurai kemacetan🙏', 'Jakarta Capital Region']"
354,"['Agungsa93154041', 'in', datetime.datetime(2019, 11, 7, 13, 59, 23), 12, 'RT @mrtjakarta: Sekarang udah gampang ngelewatin macetnya jalanan kota buat ke @urbansneakersociety dengan Official Transportation Solution…', '']"
355,"['tukangbotol', 'in', datetime.datetime(2019, 11, 7, 13, 58, 32), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
356,"['khoirinaannisa', 'in', datetime.datetime(2019, 11, 7, 13, 53, 5), 0, '@mrtjakarta @MrTJKT Min, di Stasiun MRT fatmawati udah ada parkir sepeda atau belum ya? Kemaren2 bisa parkirnya di cipete atau haji nawi kan tuh 😕', 'Indonesia']"
357,"['IsmuNeo', 'in', datetime.datetime(2019, 11, 7, 13, 41, 46), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Barakallahu fiik ....', '']"
358,"['adjihawaR', 'in', datetime.datetime(2019, 11, 7, 13, 37, 10), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Plot twist: itu kakaknya', '']"
359,"['adjihawaR', 'in', datetime.datetime(2019, 11, 7, 13, 36, 31), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
360,"['derryadhitya', 'in', datetime.datetime(2019, 11, 7, 13, 33, 37), 0, '@cantonaisme @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Salakina eta mah wkwkw', 'Tokyo-to, Japan']"
361,"['iqbal_bol', 'in', datetime.datetime(2019, 11, 7, 13, 28, 38), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'JOG-CGK-LOP-SRG-PLM-BPN-DPS']"
362,"['negativedisplay', 'in', datetime.datetime(2019, 11, 7, 13, 16, 14), 0, '@cantonaisme @ridwanhr @mrtjakarta @TMCPoldaMetro @DivHumas_Polri Gak semua polisi kaya gitu itu cuma oknum', '+62358']"
363,"['fridondy', 'in', datetime.datetime(2019, 11, 7, 13, 16, 7), 0, '.@drhaltekehalte @mrtjakarta BLOK A\n.\n.\n.\n.\nSatuan satenya cuma 3ribu! Berasa di Jogja 😋😋😋 https://t.co/XWGKIXQJdk', 'Jakarta, Indonesia']"
364,"['vegaaSA', 'in', datetime.datetime(2019, 11, 7, 13, 10, 1), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', 'nomaden']"
365,"['Cennavi', 'in', datetime.datetime(2019, 11, 7, 12, 47, 3), 70, 'RT @cantonaisme: Pak Polisi yang baik ini membantu seorang ibu bawain barangnya untuk menuruni tangga di stasiun @mrtjakarta Benhil.\n\n2 jem…', '']"
366,"['febbyekachandra', 'in', datetime.datetime(2019, 11, 7, 12, 46, 2), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
